id {uuid},name  {properties.title},type {properties.type},diocese {properties.diocese},url {links[0].identifier},{links[0].type},{properties.when},founded by {properties.founder},{latitude},{longitude},"{types=[{""identifier"":""http://vocab.getty.edu/aat/300443474"",""label"":""monasteries (institutions)"",""sourceLabels"":[""Monastery""]}]}","{$.@id=""https://w3id.org/locolligo/early-monasteries""}","{$.indexing=""indexing_early-monasteries.json""}"
240,Abernethy Priory,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=600,,56.33336,-3.311863,,,
241,Dunkeld Monastery,,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=849,,56.565,-3.589722,,,
242,"St Serf's Inch Priory, St Serf's Inch, Loch Leven",,,https://en.wikipedia.org/wiki/List_of_monastic_houses_in_Scotland,seeAlso,>=842,,56.187532,-3.352461,,,
243,Scone,,,https://en.wikipedia.org/wiki/Scone_Abbey,seeAlso,>=700,,56.424722,-3.435833,,,
244,Kinnedar,,,https://en.wikipedia.org/wiki/Kinneddar,seeAlso,>=600,,57.7103,-3.3034,,,
245,Meigle,,,https://en.wikipedia.org/wiki/Meigle,seeAlso,>=800,,56.586944,-3.164167,,,
246,Portmahomack,,,https://en.wikipedia.org/wiki/Portmahomack,seeAlso,>=550,,57.83695,-3.82746,,,
247,Rosemarkie,,,https://en.wikipedia.org/wiki/Rosemarkie,seeAlso,>=600,,57.59162,-4.11516,,,
248,Paisley,,,https://en.wikipedia.org/wiki/Paisley_Abbey,seeAlso,>=620,,55.845,-4.420556,,,
250,Finlaggan,,,https://en.wikipedia.org/wiki/Finlaggan,seeAlso,>=650,,55.83431,-6.17304,,,
251,Altmünster Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,,,49.6133,6.1424,,,
252,Altomünster Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=750,Alto,48.3886,11.2565,,,
253,Amorbach Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=734,"Amor, disciple of Pirmin",49.642778,9.22,,,
254,Annegray Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=590,Columbanus,47.8244,6.5386,,,
255,Argenteuil Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=656,,48.95,2.25,,,
256,Benedictbeuren Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=740,,47.7075,11.399167,,,
257,Bobbio Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=614,Columbanus,44.7667,9.387,,,
258,Abbey of Bruyères-le-Châtel,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=673,Chlotilde,48.5935,2.1925,,,
259,Chelles Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=658,Balthild,48.8833,2.6,,,
260,Chiemsee Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=782,,47.866667,12.433333,,,
261,"Saint Peter Abbey, Corbie",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=660,Balthild,49.908889,2.510278,,,
262,Dol Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=548,Samson of Dol,48.550833,-1.755833,,,
263,Echternach Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=698,Willibrord,49.813889,6.4225,,,
264,Elnone,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=633,Amandus,50.449722,3.428611,,,
265,Faremoutiers Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=620,Burgundofara,48.801944,2.9975,,,
266,Fécamp Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=658,Waningus,49.755333,0.381722,,,
267,Ferrières Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=630,Columbanus,48.0901,2.789,,,
268,"Saint Peter Abbey, Flavigny",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=719,Widerad,47.511389,4.529722,,,
269,Fleury Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=640,Leodebaldus,47.809797,2.305519,,,
270,Fritzlar Abbey (Frideslar),,,"https://en.wikipedia.org/wiki/Saint_Peter%27s_Church,_Fritzlar",seeAlso,>=724,Boniface,51.130833,9.273889,,,
271,Gorze Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=749,Chrodegang of Metz,49.053889,5.996667,,,
272,Fontanella Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=648,Wandregisel,49.52956,0.76655,,,
273,Fulda Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=744,Sturm,50.554,9.67175,,,
274,Hautmont Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=646,Vincent Madelgarius,50.2486,3.9253,,,
275,Hautvillers Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=665,,49.0819,3.9412,,,
276,Hersfeld Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=736,Sturm,50.866389,9.702778,,,
277,"Holy Cross Abbey, Poitiers",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=552,Radegunde,46.5798,0.3519,,,
278,Holzkirchen Abbey,,,https://second.wiki/wiki/kloster_holzkirchen,seeAlso,>=775,Drudmunt,49.78,9.681,,,
279,Honau Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=720,Adalbert,48.6589,7.8292,,,
280,Hornbach Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,,,49.186927,7.369601,,,
281,Abbey Notre-Dame de Jouarre,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=630,Ado,48.926667,3.131944,,,
282,"Saint Peter Abbey, Jumièges",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=654,Philibert,49.431944,0.819167,,,
283,Kaiserwerth Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=700,Suitbert,51.30093856,6.73302545,,,
284,Kempten Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=752,Audogar,47.7277,10.3132,,,
285,Kitzingen Abbey,,,https://arts.st-andrews.ac.uk/monasticmatrix/monasticon/kitzingen,seeAlso,>=734,,49.733333,10.166667,,,
286,"Saint Lambert Abbey, Liessies",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=751,Wilbert,50.119444,4.083333,,,
287,Lobbes Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=650,Landelin,50.347222,4.261111,,,
288,Lorch Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=764,Cancor,49.653611,8.569722,,,
289,"Saint Peter and Paul Abbey, Luxeuil",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=590,Columbanus,47.816389,6.381389,,,
290,Marmoutier Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=589,Leobard?,48.690556,7.3825,,,
291,Maroilles Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=650,Radobert,50.133333,3.758611,,,
292,Mettlach Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=676,Leudwinus,49.49,6.594,,,
293,Mondsee Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=748,Odilo of Bavaria,47.857222,13.35,,,
294,Mont-St-Michel Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=708,Aubert,48.636,-1.511,,,
295,Montier-en-Der Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=670,Berchar(ius),48.478056,4.772222,,,
296,Murbach Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=727,Pirmin,47.923333,7.158056,,,
297,Nantua Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=660,Amandus[1],46.15258454,5.60716058,,,
298,"Saint Maurice Abbey, Niederaltaich",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=731,Odilo of Bavaria,48.766111,13.027778,,,
299,Nivelles Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=640,Gertrude of Nivelles,50.5975,4.323333,,,
300,Noirmoutier Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=674,Philibert,47.0044,-2.2533,,,
301,"Saint Junian Abbey, Nouaillé-Maupertuis",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=600,Junian,46.5094,0.415,,,
302,Novalese Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=726,Abbo of Provence,45.17968,7.00845,,,
303,Orbais Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=700,Reol,48.9508,3.6994,,,
304,Péronne Abbey,,,https://www.findagrave.com/cemetery/2452259/abbey-of-saint-fursy,seeAlso,>=658,,49.92932,2.935,,,
